usage_start_time,project/id,service/description,location/region,cost,resource/name,labels
2026-06-02 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-03 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-5,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-03 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-6,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-03 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-03 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-03 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-03 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-03 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-04 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-7,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-04 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-8,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-04 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-04 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-04 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-04 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-04 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-05 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-9,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-05 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-10,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-05 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-05 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-05 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-05 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-05 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-06 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-11,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-06 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-12,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-06 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-06 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-06 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-06 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-06 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-07 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-13,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-07 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-14,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-07 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-07 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-07 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-07 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-07 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-08 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-15,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-08 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-16,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-08 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-08 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-08 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-08 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-08 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-09 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-17,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-09 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-18,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-09 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-09 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-09 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-09 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-09 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-10 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-19,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-10 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-20,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-10 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-10 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-10 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-10 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-10 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-11 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-21,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-11 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-22,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-11 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-11 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-11 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-11 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-11 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-12 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-23,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-12 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-24,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-12 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-12 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-12 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-12 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-12 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-13 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-25,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-13 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-26,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-13 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-13 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-13 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-13 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-13 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-14 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-27,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-14 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-28,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-14 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-14 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-14 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-14 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-14 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-15 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-29,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-15 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-30,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-15 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-15 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-15 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-15 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-15 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-16 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-31,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-16 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-32,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-16 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-16 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-16 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-16 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-16 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-17 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-33,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-17 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-34,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-17 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-17 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-17 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-17 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-17 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-18 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-35,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-18 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-36,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-18 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-18 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-18 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-18 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-18 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-19 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-37,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-19 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-38,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-19 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-19 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-19 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-19 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-19 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-20 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-39,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-20 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-40,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-20 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-20 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-20 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-20 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-20 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-21 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-41,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-21 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-42,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-21 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-21 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-21 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-21 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-21 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-22 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-43,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-22 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-44,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
2026-06-22 00:00:00 UTC,gcp-prod-billing,Cloud SQL,us-central1,38.00,sql-prod-master,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-22 00:00:00 UTC,gcp-prod-billing,Cloud NAT,us-central1,18.00,nat-gateway-central,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-22 00:00:00 UTC,gcp-prod-billing,Cloud Storage,us-central1,14.50,bucket-prod-backups,"{""environment"":""Production"",""team"":""Ops"",""application"":""Infrastructure""}"
2026-06-22 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east1,2.20,ip-static-unused,"{""environment"":""Development"",""team"":""Ops"",""application"":""AdminPortal""}"
2026-06-22 00:00:00 UTC,gcp-prod-billing,Stackdriver Logging,us-central1,9.60,logging-workspace,"{""environment"":""Production"",""team"":""Backend"",""application"":""WebSaaS""}"
2026-06-23 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-central1,58.00,instance-prod-45,"{""environment"":""Production"",""team"":""Frontend"",""application"":""WebSaaS""}"
2026-06-23 00:00:00 UTC,gcp-prod-billing,Compute Engine,us-east4,22.00,instance-dev-46,"{""environment"":""Development"",""team"":""QA"",""application"":""AdminPortal""}"
